#,topic_detected,topic_corrected,action,target_subtopic_key,alias_to_add,new_subtopic_ref,batch_pattern,exclude_reason,rationale,relative_path,knowledge_class
50,emergencia_tributaria,,a,exenciones_tributarias_covid_19,emergencia_tributaria_decretos_1474_0240_2025_2026,,,,Decretos 1474/2025 y 0240/2026 (emergencia económica Catatumbo/La Guajira) — ampliar alias del catch-all existente hasta que se renombre el subtopic.,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/01-DECRETO-0240-EMERGENCIA-TRIBUTARIA/INTERPRETACION/T-D0240-decreto-0240-interpretaciones-expertos.md,interpretative_guidance
51,emergencia_tributaria,,a,exenciones_tributarias_covid_19,emergencia_tributaria_decretos_1474_0240_2025_2026,,,,Decretos 1474/2025 y 0240/2026 (emergencia económica Catatumbo/La Guajira) — ampliar alias del catch-all existente hasta que se renombre el subtopic.,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/01-DECRETO-0240-EMERGENCIA-TRIBUTARIA/NORMATIVA/N-D0240-decreto-0240-emergencia-tributaria.md,normative_base
52,emergencia_tributaria,,a,exenciones_tributarias_covid_19,emergencia_tributaria_decretos_1474_0240_2025_2026,,,,Decretos 1474/2025 y 0240/2026 (emergencia económica Catatumbo/La Guajira) — ampliar alias del catch-all existente hasta que se renombre el subtopic.,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/01-DECRETO-0240-EMERGENCIA-TRIBUTARIA/PRACTICA/L-D0240-decreto-0240-guia-practica.md,practica_erp
53,emergencia_tributaria,,a,exenciones_tributarias_covid_19,emergencia_tributaria_decretos_1474_0240_2025_2026,,,,Decretos 1474/2025 y 0240/2026 (emergencia económica Catatumbo/La Guajira) — ampliar alias del catch-all existente hasta que se renombre el subtopic.,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/02-MAPA-EMERGENCIA-CONSOLIDADO/INTERPRETACION/T-EME-CONSOLIDADO-emergencia-interpretaciones-expertos.md,interpretative_guidance
54,emergencia_tributaria,,a,exenciones_tributarias_covid_19,emergencia_tributaria_decretos_1474_0240_2025_2026,,,,Decretos 1474/2025 y 0240/2026 (emergencia económica Catatumbo/La Guajira) — ampliar alias del catch-all existente hasta que se renombre el subtopic.,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/02-MAPA-EMERGENCIA-CONSOLIDADO/NORMATIVA/N-EME-CONSOLIDADO-mapa-emergencia-2025-2026.md,normative_base
55,emergencia_tributaria,,a,exenciones_tributarias_covid_19,emergencia_tributaria_decretos_1474_0240_2025_2026,,,,Decretos 1474/2025 y 0240/2026 (emergencia económica Catatumbo/La Guajira) — ampliar alias del catch-all existente hasta que se renombre el subtopic.,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/02-MAPA-EMERGENCIA-CONSOLIDADO/PRACTICA/L-EME-CONSOLIDADO-emergencia-guia-practica.md,practica_erp
56,emergencia_tributaria,,a,exenciones_tributarias_covid_19,emergencia_tributaria_decretos_1474_0240_2025_2026,,,,Decretos 1474/2025 y 0240/2026 (emergencia económica Catatumbo/La Guajira) — ampliar alias del catch-all existente hasta que se renombre el subtopic.,CORE ya Arriba/RENTA/EXPERTOS/T03-decreto-1474-emergencia-economica-interpretaciones.md,interpretative_guidance
57,emergencia_tributaria,,a,exenciones_tributarias_covid_19,emergencia_tributaria_decretos_1474_0240_2025_2026,,,,Decretos 1474/2025 y 0240/2026 (emergencia económica Catatumbo/La Guajira) — ampliar alias del catch-all existente hasta que se renombre el subtopic.,CORE ya Arriba/RENTA/LOGGRO/seccion-21-medidas-transitorias-decreto-1474-emergencia-economica.md,practica_erp
58,estados_financieros_niif,,a,conciliacion_fiscal_2516_2517,descuentos_pronto_pago_niif_15,,,,Descuentos pronto pago en compras — tratamiento NIIF 15 / conciliación fiscal. Alias al catch-all.,CORE ya Arriba/DESCUENTOS_INVENTARIOS_NIIF/LOGGRO/seccion-09-A-descuentos-pronto-pago-compras.md,practica_erp
59,estados_financieros_niif,presupuesto_hacienda,b,sistema_general_regalias_ley_1530_2012,,presupuesto_hacienda.sistema_general_regalias_ley_1530_2012,,,Ley 1530/2012 = Sistema General de Regalías. No es NIIF; parent correcto es presupuesto_hacienda.,CORE ya Arriba/LEYES/NIIF_CONTABLE/consolidado/Ley-1530-2012.md,normative_base
60,estados_financieros_niif,presupuesto_hacienda,b,sistema_general_regalias_ley_1530_2012,,presupuesto_hacienda.sistema_general_regalias_ley_1530_2012,,,Ley 1530/2012 = Sistema General de Regalías. No es NIIF; parent correcto es presupuesto_hacienda.,CORE ya Arriba/LEYES/NIIF_CONTABLE/EXPERTOS/EXPERTOS_Ley-1530-2012.md,normative_base
61,estados_financieros_niif,presupuesto_hacienda,b,sistema_general_regalias_ley_1530_2012,,presupuesto_hacienda.sistema_general_regalias_ley_1530_2012,,,Ley 1530/2012 = Sistema General de Regalías. No es NIIF; parent correcto es presupuesto_hacienda.,CORE ya Arriba/LEYES/NIIF_CONTABLE/NORMATIVA/Ley-1530-2012.md,normative_base
62,estados_financieros_niif,,a,,,,,,"SIN DECISIÓN ENCODADA — revisar manualmente. topic=estados_financieros_niif, path=CORE ya Arriba/LOGGRO_LEYES/NC-1530-2012-LOGGRO.md",CORE ya Arriba/LOGGRO_LEYES/NC-1530-2012-LOGGRO.md,practica_erp
63,gravamen_movimiento_financiero_4x1000,,b,marco_legal_gmf_4x1000,,gravamen_movimiento_financiero_4x1000.marco_legal_gmf_4x1000,,,Parent topic sin subtopics aún; este documento establece el primer anclaje.,CORE ya Arriba/GMF_4X1000/NORMATIVA/GMF-N01-marco-legal-GMF-cuentas-exentas-art-879-ET.md,normative_base
64,ica,impuesto_patrimonio_personas_naturales,a,impuesto_al_patrimonio_excepcional_2011,impuesto_patrimonio_PN_guia_practica_2026,,,,No es ICA — es impuesto al patrimonio PN. Corrección de parent_topic + alias al catch-all PN.,CORE ya Arriba/IMPUESTO_PATRIMONIO_PN/LOGGRO/PAT-L01-guia-practica-declaracion-patrimonio-PN-2026.md,practica_erp
65,ica,presupuesto_hacienda,b,sistema_general_regalias_ley_1530_2012,,presupuesto_hacienda.sistema_general_regalias_ley_1530_2012,,,"Ley 1530/2012 SGR — parent correcto es presupuesto_hacienda, no ICA.",CORE ya Arriba/LEYES/NIIF_CONTABLE/LOGGRO/PRACTICA_Ley-1530-2012.md,normative_base
66,ica,declaracion_renta,a,declaracion_de_renta_personas_juridicas,clasificacion_depuracion_ingresos_renta_pj,,,,"Sección 08 sobre clasificación y depuración de ingresos es de renta PJ, no ICA.",CORE ya Arriba/RENTA/LOGGRO/seccion-08-clasificacion-y-depuracion-de-ingresos.md,practica_erp
67,ica,facturacion_electronica,a,ecosistema_facturacion_electronica,nomina_electronica_documento_soporte,,,,"Sección 19 es facturación electrónica, no ICA.",CORE ya Arriba/RENTA/LOGGRO/seccion-19-facturacion-electronica-documento-soporte-nomina-electronica.md,practica_erp
68,ica,declaracion_renta,b,depreciacion_fiscal_pyme,,declaracion_renta.depreciacion_fiscal_pyme,,,Depreciación fiscal = declaración de renta PJ + subtopic dedicado.,to upload/AGGRANDIZEMENT-ABRIL-2026/DEPRECIACION_FISCAL/LOGGRO/DEP-L01-guia-practica-depreciacion-fiscal-PYME.md,practica_erp
69,ica,informacion_exogena,b,recurso_sancion_exogena_art_651_ET,,informacion_exogena.recurso_sancion_exogena_art_651_ET,,,Recurso contra sanción exógena = informacion_exogena. Corrección de parent + subtopic dedicado.,to upload/AGGRANDIZEMENT-ABRIL-2026/PROCEDIMIENTO_RECURSO_EXOGENA/LOGGRO/PRO-L01-guia-practica-recurso-sancion-no-presentar-exogena.md,practica_erp
70,impuesto_patrimonio_personas_naturales,,a,impuesto_al_patrimonio_excepcional_2011,impuesto_patrimonio_PN_permanente_arts_292_298_ET,,,,"Impuesto al patrimonio PN vigente (arts 292-298 ET, reformado por Ley 2277/2022). Alias al catch-all existente — el nombre actual ""excepcional_2011"" es histórico y debería renombrarse.",CORE ya Arriba/IMPUESTO_PATRIMONIO_PN/EXPERTOS/PAT-E01-interpretaciones-umbral-base-gravable-socios-PYME.md,interpretative_guidance
71,impuesto_patrimonio_personas_naturales,,a,impuesto_al_patrimonio_excepcional_2011,impuesto_patrimonio_PN_permanente_arts_292_298_ET,,,,"Impuesto al patrimonio PN vigente (arts 292-298 ET, reformado por Ley 2277/2022). Alias al catch-all existente — el nombre actual ""excepcional_2011"" es histórico y debería renombrarse.",CORE ya Arriba/IMPUESTO_PATRIMONIO_PN/NORMATIVA/PAT-N01-marco-legal-impuesto-patrimonio-PN-arts-292-298-ET.md,normative_base
72,impuestos_saludables,,b,impuestos_saludables_ibua_icui,,impuestos_saludables.impuestos_saludables_ibua_icui,,,IBUA + ICUI creados por Ley 2277/2022; necesita subtopic dedicado.,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/11-IMPUESTOS-SALUDABLES-IBUA-ICUI/INTERPRETACION/T-IBUA-impuestos-saludables-interpretaciones.md,interpretative_guidance
73,informacion_exogena,,b,recurso_sancion_exogena_art_651_ET,,informacion_exogena.recurso_sancion_exogena_art_651_ET,,,Módulo defensivo específico: recurso contra sanción art. 651 ET. Subtopic dedicado.,to upload/AGGRANDIZEMENT-ABRIL-2026/PROCEDIMIENTO_RECURSO_EXOGENA/EXPERTOS/PRO-E01-recurso-sancion-exogena-interpretaciones.md,interpretative_guidance
74,informacion_exogena,,b,recurso_sancion_exogena_art_651_ET,,informacion_exogena.recurso_sancion_exogena_art_651_ET,,,Módulo defensivo específico: recurso contra sanción art. 651 ET. Subtopic dedicado.,to upload/AGGRANDIZEMENT-ABRIL-2026/PROCEDIMIENTO_RECURSO_EXOGENA/NORMATIVA/PRO-N01-recurso-sancion-exogena-art-651-ET.md,normative_base
75,inversiones_incentivos,,b,transicion_energetica_ley_2099_2021,,inversiones_incentivos.transicion_energetica_ley_2099_2021,,,Ley 2099/2021 transición energética — amplía Ley 1715.,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/consolidado/Ley-2099-2021.md,normative_base
76,inversiones_incentivos,,b,ley_paez_218_1995,,inversiones_incentivos.ley_paez_218_1995,,,Ley 218/1995 Ley Páez — incentivo regional con vigencia residual.,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/consolidado/Ley-218-1995.md,normative_base
77,inversiones_incentivos,,b,progresividad_ley_1429_2010_formalizacion,,inversiones_incentivos.progresividad_ley_1429_2010_formalizacion,,,Ley 1429/2010 progresividad de renta — todavía aplicable a acogidos antes de derogatoria.,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/EXPERTOS/EXPERTOS_Ley-1429-2010.md,normative_base
78,inversiones_incentivos,,b,fnce_ley_1715_2014_energia_renovable,,inversiones_incentivos.fnce_ley_1715_2014_energia_renovable,,,Ley 1715/2014 FNCE — deducción renta + exclusión IVA energía renovable.,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/EXPERTOS/EXPERTOS_Ley-1715-2014.md,normative_base
79,inversiones_incentivos,,b,transicion_energetica_ley_2099_2021,,inversiones_incentivos.transicion_energetica_ley_2099_2021,,,Ley 2099/2021 transición energética — amplía Ley 1715.,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/EXPERTOS/EXPERTOS_Ley-2099-2021.md,normative_base
80,inversiones_incentivos,,b,ley_paez_218_1995,,inversiones_incentivos.ley_paez_218_1995,,,Ley 218/1995 Ley Páez — incentivo regional con vigencia residual.,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/EXPERTOS/EXPERTOS_Ley-218-1995.md,normative_base
81,inversiones_incentivos,,b,progresividad_ley_1429_2010_formalizacion,,inversiones_incentivos.progresividad_ley_1429_2010_formalizacion,,,Ley 1429/2010 progresividad de renta — todavía aplicable a acogidos antes de derogatoria.,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/LOGGRO/PRACTICA_Ley-1429-2010.md,normative_base
82,inversiones_incentivos,,b,fnce_ley_1715_2014_energia_renovable,,inversiones_incentivos.fnce_ley_1715_2014_energia_renovable,,,Ley 1715/2014 FNCE — deducción renta + exclusión IVA energía renovable.,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/LOGGRO/PRACTICA_Ley-1715-2014.md,normative_base
